Particulars,OfbizPartyCode,Item Details,OfbizProductCode,supplierProductId,minimumOrderQuantity,unitPrice,FromDate
Bharat Hardware And Electricals,PRT0112,HT HexBolt 12X100mm With Nut Double Wash,PB0806,,,,
Bharat Hardware And Electricals,PRT0112,HT NUT 16mm,PB0976,,,,
Ambica Scientific Industries,PRT0087,Hydroxylamine Hydrochloride AR Solid Sal,PB0309,,,,
Vidya Ghaphic,PRT0149,I Cards Both Side Print Holder & Dori Pr,PB0435,,,,
Mittal Machinery Store,PRT0035,Impeller KDS SP4L,PB0799,,,,
Bhagwati Hardware & Electricals,PRT0193,Inch Tape 5 Mtr,PB1213,,,,
"Shri Bihari Ji Packagings,",PRT0098,"Index for 1.00,0.500,0.250 Liter",PB0061,,,,
Namaskar Electrical & Spares,PRT0228,Induction Chulha,PB0753,,,,
Mittal Machinery Store,PRT0035,Induction Motor 5HP 1440 Rpm Three Phase,PB0757,,,,
Global Engineering & Packaging Solutions,PRT0011,Ink Black (411-D),PB0885,,,,
Mittal Refrectories,PRT0236,Insulation Bricks,PB0902,,,,
New Kanha Medical Store,PRT0255,Intalon 100 Ml,PB1057,,,,
Ritik Communication,PRT0155,IP Camera 2 MP,PB0501,,,,
Mahashayji Traders,PRT0287,ISA 35X35X5mm,PB1310,,,,
Atul Steel Associates,PRT0121,ISA 40X40X5mm,PB0339,,,,
Mahashayji Traders,PRT0287,ISA 50X50X5mm,PB0424,,,,
Nandan Steels,PRT0105,ISA 50X50X5mm,PB0424,,,,
PATRAM ISPAT BHANDAR,PRT0104,ISA 50X50X6mm,PB0245,,,,
Nandan Steels,PRT0105,ISA 50X50X6mm,PB0245,,,,
Nandan Steels,PRT0105,ISA 65X65X6mm,PB0290,,,,
Nandan Steels,PRT0105,ISA 75X75X8mm,PB0289,,,,
Nandan Steels,PRT0105,ISMB 125X70 mm,PB0420,,,,
Nandan Steels,PRT0105,ISMB 150X75 mm,PB0288,,,,
Nandan Steels,PRT0105,ISMB 200X100 Mm,PB0287,,,,
Nandan Steels,PRT0105,ISMB 300X140 mm,PB0419,,,,
Atul Steel Associates,PRT0121,ISMB 450X150 mm,PB0338,,,,
Atul Steel Associates,PRT0121,ISMB 500X180 Mm,PB0337,,,,
Nandan Steels,PRT0105,ISMC 100x50mm,PB0286,,,,
Bala Ji Iron Store,PRT0267,ISMC 100x50mm,PB0286,,,,
Nandan Steels,PRT0105,ISMC 120x65mm,PB0422,,,,
Atul Steel Associates,PRT0121,ISMC 150X75X5mm,PB0354,,,,
Nandan Steels,PRT0105,ISMC 200X75mm,PB0285,,,,
Atul Steel Associates,PRT0121,ISMC 200X75X8mm,PB0355,,,,
Nandan Steels,PRT0105,ISMC 300x900mm,PB0421,,,,
Atul Steel Associates,PRT0121,ISMC 400X10mm,PB0336,,,,
Nandan Steels,PRT0105,ISMC 75x40mm,PB0626,,,,
Ambica Scientific Industries,PRT0087,Iso-Propyle Alcohal,PB0301,,,,
MODI INFOTECH SERVICES,PRT0020,IT Services (Web Hosting & Domain) 3yr,PB0548,,,,
Bharat Hardware And Electricals,PRT0112,Jack Hydrolic,PB0841,,,,
Continental Earthmovers,PRT0227,JCB Engine Oil (4001/3200-15),PB0982,,,,
Continental Earthmovers,PRT0227,JCB Gear Oil (4000/2500-20),PB0985,,,,
Continental Earthmovers,PRT0227,JCB Rear Axle OIL ( 4000/4600-20),PB0983,,,,
Continental Earthmovers,PRT0227,JCB Transmission Oil Plus (4000/2500-20),PB0984,,,,
Bhagwati Hardware & Electricals,PRT0193,Joint Clamp for Gas Cutter,PB1082,,,,
Bhagwati Hardware & Electricals,PRT0193,Joint Nipple for Gas Cutter,PB1081,,,,
S. KUMAR & COMPANY,PRT0292,Karela 6214,PB1106,,,,
S. KUMAR & COMPANY,PRT0292,Karela F1 Pali,PB1107,,,,
S. KUMAR & COMPANY,PRT0292,Kharbooja Madhurama,PB1113,,,,
S. KUMAR & COMPANY,PRT0292,Khira Najiya,PB1102,,,,
S. KUMAR & COMPANY,PRT0292,Khira Sapra,PB1103,,,,
Ambika Scientific Industries,PRT0109,Kjeldahl Distil. Flask 500ml (Borosil),PB0204,,,,
Ambica Scientific Industries,PRT0087,Kjeldahl Trap Adapter Joint,PB0323,,,,
DIVYA PHARMACY A-1,PRT0244,Kwath Machine,PB1311,,,,
Ambica Scientific Industries,PRT0087,Lab Washing Brush ( All Size),PB1312,,,,
Rishi Offset Printers,PRT0099,Label for Patanjali Aceto Plus  1 Ltr,PB0980,,,,
Rishi Offset Printers,PRT0099,Label for Patanjali Azopsi Plus  1 Ltr,PB0979,,,,
Rishi Offset Printers,PRT0099,Label for Patanjali Azoto 1 Ltr,PB0073,,,,
Rishi Offset Printers,PRT0099,Label for Patanjali Bio NPK 1 Ltr,PB0108,,,,
Rishi Offset Printers,PRT0099,Label for Patanjali Bio Potash  1 Ltr,PB0067,,,,
Rishi Offset Printers,PRT0099,Label for Patanjali Bio Zink Plus  1 Ltr,PB0978,,,,
Rishi Offset Printers,PRT0099,Label for Patanjali Neem Gold 01 Ltr,PB0064,,,,
Rishi Offset Printers,PRT0099,Label for Patanjali PSB 1 Ltr,PB0070,,,,
Rishi Offset Printers,PRT0099,Label for Patanjali Rhizobium 1  Ltr,PB0076,,,,
New Kanha Medical Store,PRT0255,Lable,PB1056,,,,
M H Enterprises,PRT0068,Labolin Neutral PH Detergent,PB1313,,,,
Nankani Jute House,PRT0237,Labor Charges (for PVC Flooring),PB0831,,,,
Dell International Services India Pvt Lt,PRT0173,Laptop Bag,PB0530,,,,
Dell International Services India Pvt Lt,PRT0173,Laptop I3,PB0529,,,,
DEV IT Serv Private Limited,PRT0216,Laptop I3 - 7020U,PB0707,,,,
Kanhaiya Enterprises,PRT0010,"LDPE Black Poly Bag 5.5""x6""",PB1146,,,,
A. R. Enterprises,PRT0283,LED Full Glow 2X2 Panel Light,PB0718,,,,
Keymech Technologies,PRT0246,LED HIGHBAY LIGHTS,PB0913,,,,
Mittal Machinery Store,PRT0035,LED Tube Light Fitting 20 Watt 4FT,PB0441,,,,
Bharat Hardware And Electricals,PRT0112,LED Tube Light Fitting 20 Watt 4FT,PB0441,,,,
Divine Lights Trading Co.,PRT0254,LED Tube Light Fitting 20 Watt 4FT,PB0441,,,,
Ritik Communication,PRT0155,License IP Activation Key,PB0454,,,,
Ritik Communication,PRT0155,License trunk Activation,PB0455,,,,
Khicha Phoschem Ltd.,PRT0025,Lignite Powder,PB0028,,,,
Siddharth Minerals,PRT0082,Lignite Powder,PB0028,,,,
Atlas Copco (India) Limited,PRT0134,Line Filters for purification upto 0.01,PB0363,,,,
Royal Trading Co.,PRT0250,Liquid Soap Dispenser SS Zupdi 500ml,PB1068,,,,
Continental Earthmovers,PRT0227,Loadall 7 MTR (A530BAABADABBAAA),PB0783,,,,
Royal Trading Co.,PRT0250,Lock 40 Mm,PB1003,,,,
Bharat Hardware And Electricals,PRT0112,Lock 50 Mm,PB0538,,,,
Royal Trading Co.,PRT0250,Lock 50 Mm,PB0538,,,,
Bharat Hardware And Electricals,PRT0112,Lock 65 Mm,PB0818,,,,
Royal Trading Co.,PRT0250,Lock 65 Mm,PB0818,,,,
S. KUMAR & COMPANY,PRT0292,Loki Anokhi,PB1116,,,,
S. KUMAR & COMPANY,PRT0292,Loki Sumya,PB1115,,,,
Bharat Hardware And Electricals,PRT0112,"Long Body Cock Heavy 1/2""",PB0810,,,,
Gen.Tech Engineers,PRT0285,Lube Oil Filter 06.436.010,PB1046,,,,
OM Production & Advertising,PRT0273,Luxury Roll-up Standee,PB1171,,,,
Bhargava Brothers,PRT0009,LXR Notebook,PB1147,,,,
Bharat Hardware And Electricals,PRT0112,M Seal,PB0544,,,,
Bharat Hardware And Electricals,PRT0112,M-Seal,PB0912,,,,
Bharat Hardware And Electricals,PRT0112,M/Tape Freemens 3 Mtr,PB0890,,,,
Universal Industries,PRT0005,Maganisium Sulphate 9.60%,PB0035,,,,
Titan Biotech Limited,PRT0003,Maganisium Sulphate LR,PB0176,,,,
A. R. Enterprises,PRT0283,Main LT Panel With APFC Panel,PB0610,,,,
Global Engineering & Packaging Solutions,PRT0011,Make Up (706-D),PB0884,,,,
Universal Industries,PRT0005,Manganese Sulphate 30.50%,PB0034,,,,
Ceasefire Industries Pvt. Ltd.,PRT0145,Map 90 Fire Extinguisher 06 Kg Cap Trole,PB0411,,,,
Ceasefire Industries Pvt. Ltd.,PRT0145,Map 90 Fire Extingusher 25 Kg Cap Troley,PB0413,,,,
Shree Ramdev Trading Co.,PRT0257,Marking Tags,PB0999,,,,
Bhagwati Hardware & Electricals,PRT0193,Matelic Gasket Sheet,PB1314,,,,
Rishi Offset Printers,PRT0099,Material Purchase Indent,PB1125,,,,
Rishi Offset Printers,PRT0099,Material Receipt Note Book,PB1126,,,,
Ritik Communication,PRT0155,Matrix Simado GFX11,PB1252,,,,
Mittal Machinery Store,PRT0035,MCB 16A X 1 Pole,PB0560,,,,
Mittal Machinery Store,PRT0035,MCB 32A 1POLE,PB0795,,,,
A. R. Enterprises,PRT0283,MCB 32A 3POLE,PB0445,,,,
Bharat Hardware And Electricals,PRT0112,MCB 6 AMP Single Pole,PB0909,,,,
Mittal Machinery Store,PRT0035,MCB 63A 3POLE,PB0565,,,,
A. R. Enterprises,PRT0283,MCCB 4 Pole 250 Amp,PB0995,,,,
Bharat Hardware And Electricals,PRT0112,MCCB 4 Pole 250 Amp,PB0995,,,,
Mittal Machinery Store,PRT0035,MCCB DN1-250C 125A 3POLE 25KA CAT NO-CM9,PB0443,,,,
Sri Sai Plastics Enterprises,PRT0199,Measuring Cylinder 10 Ml,PB1266,,,,
Sri Sai Plastics Enterprises,PRT0199,Measuring Cylinder 25 Ml,PB0687,,,,
Bharat Hardware And Electricals,PRT0112,"Measuring Scale 24""",PB1204,,,,
Sri Sai Plastics Enterprises,PRT0199,Measuring Spatula 2 Gm,PB0701,,,,
S. KUMAR & COMPANY,PRT0292,Methi Seeds,PB0741,,,,
M H Enterprises,PRT0068,Methyl Red,PB0646,,,,
Ambica Scientific Industries,PRT0087,Methyl Red,PB0646,,,,
Pushpak Traders,PRT0288,"MI A2 6GB RAM, 128GB ROM",PB1315,,,,
Chandwani Furnitures,PRT0284,Mica 8X4,PB1316,,,,
Systonic,PRT0183,Microprocessor Flame Photometer - S-935,PB0580,,,,
Ambica Scientific Industries,PRT0087,Microscope Slide Box,PB1317,,,,
Trishul Agencies,PRT0260,Microwave Oven 20 Ltr ONIDA,PB1048,,,,
Bharat Hardware And Electricals,PRT0112,Mineral Oil / Tarpin Oil,PB0432,,,,
Bharat Hardware And Electricals,PRT0112,Modular AC Box 25A,PB0908,,,,
Bharat Hardware And Electricals,PRT0112,Modular Box,PB0910,,,,
Bharat Hardware And Electricals,PRT0112,Modular Box  12 X 6,PB0911,,,,
Rishi Enterprises,PRT0230,Mono Carton for Patanjali Fluoresce 1 kg,PB0081,,,,
Rishi Enterprises,PRT0230,Mono Carton for Patanjali Nemakil 1 kg,PB0082,,,,
Rishi Enterprises,PRT0230,Mono Carton for Patanjali Suraksha  1 kg,PB0080,,,,
Rishi Enterprises,PRT0230,Mono Carton for Patanjali Trico 1 kg,PB0079,,,,
Mittal Machinery Store,PRT0035,MONOBLOCK PUMP 1HP 3PHASE MOD:KSMB116,PB0678,,,,
Mittal Machinery Store,PRT0035,MONOBLOCK PUMP 2HP 3PHASE MOD:KSMB220,PB1318,,,,
Rahul Beej Bhandar,PRT0290,Moong Seeds,PB1219,,,,
Nandan Silai Machine Works,PRT0277,Motot of Bag Closer Machine,PB1286,,,,
Rishi Offset Printers,PRT0099,Mrida Pareekshan Report Book (PBRI),PB1122,,,,
Nandan Steels,PRT0105,MS Anchor Fastner 100X12mm,PB0628,,,,
Nandan Steels,PRT0105,MS Anchor Fastner 100X16mm,PB0629,,,,
Nandan Steels,PRT0105,MS Angle (50x5mm),PB0333,,,,
Nandan Steels,PRT0105,MS Angle (75X75X6mm),PB0668,,,,
Nandan Steels,PRT0105,MS Angle (75X75X8mm),PB0483,,,,
Mittal Machinery Store,PRT0035,MS Base Frame,PB0755,,,,
Bhagwati Hardware & Electricals,PRT0193,MS Boiler Brush 35mm,PB1319,,,,
Atul Steel Associates,PRT0121,MS Box 200X100X6mm Thick,PB0343,,,,
Nandan Steels,PRT0105,MS Channel (100X50X5mm),PB0334,,,,
Nandan Steels,PRT0105,MS Chequred Plate 5 mm,PB0716,,,,
Bharat Hardware And Electricals,PRT0112,"MS Flange 10""",PB1025,,,,
Nandan Steels,PRT0105,MS Flat (70X10mm),PB0331,,,,
Nandan Steels,PRT0105,MS Flat 125X20mm,PB0293,,,,
Nandan Steels,PRT0105,MS Flat 150X12mm,PB0294,,,,
Nandan Steels,PRT0105,MS Flat 50X16mm,PB0536,,,,
Bala Ji Iron Store,PRT0267,MS Flat 50X16mm,PB0536,,,,
Nandan Steels,PRT0105,MS Flat 50X5mm,PB0715,,,,
PATRAM ISPAT BHANDAR,PRT0104,MS Flat 50X6mm,PB0246,,,,
Nandan Steels,PRT0105,MS Flat 50X6mm,PB0246,,,,
Nandan Steels,PRT0105,MS Flat 65X12mm,PB0292,,,,
Nandan Steels,PRT0105,MS Flat 65X35mm,PB0295,,,,
Namdev & Sons,PRT0163,MS Nut Bolt,PB0596,,,,
Bharat Hardware And Electricals,PRT0112,MS Nut Bolt With Double Washers - Half T,PB0829,,,,
Bharat Hardware And Electricals,PRT0112,MS Nut Bolt With Washer,PB0457,,,,
Bhagwati Hardware & Electricals,PRT0193,MS Nut Bolt With Washer,PB0457,,,,
Bhagwati Hardware & Electricals,PRT0193,MS Nut Bolts With Double Washers 1/2x80m,PB0666,,,,
Bhagwati Hardware & Electricals,PRT0193,MS Nut Bolts With Double Washers 5/8x80m,PB0665,,,,
Nandan Steels,PRT0105,MS Pipe 40mm A Class for Railling,PB0669,,,,
Nandan Steels,PRT0105,"MS Pipe Dia 200mm, 8 Mm Thick",PB0297,,,,
Nandan Steels,PRT0105,"MS Pipe Dia 300mm, 8 Mm Thick",PB0296,,,,
Namdev & Sons,PRT0163,MS Pole SP 72,PB0591,,,,
Mohan Fabtech Pvt. Ltd.,PRT0089,MS Rolling Mill,PB0630,,,,
Nandan Steels,PRT0105,MS Round Bar 40mm Dia,PB0719,,,,
Nandan Steels,PRT0105,"MS Round Pipe (1.5)"" (Thk-2mm)",PB0425,,,,
Nandan Steels,PRT0105,MS Round Pipe (150X5mm),PB0599,,,,
Nandan Steels,PRT0105,MS Round Pipe (50x50x5)mm,PB1155,,,,
Nandan Steels,PRT0105,MS Round Pipe (B-class) 25mm Dia,PB0717,,,,
Nandan Steels,PRT0105,MS Sheet (1250X2500X18mm),PB0720,,,,
Nandan Steels,PRT0105,MS Sheet (1250X2500X20mm),PB0713,,,,
Nandan Steels,PRT0105,MS Sheet (1250X2500X2mm),PB1150,,,,
Nandan Steels,PRT0105,MS Sheet (1250X2500X30mm),PB0714,,,,
Nandan Steels,PRT0105,MS Sheet (1250X2500X3mm),PB0335,,,,
Nandan Steels,PRT0105,MS Sheet (1250X6000X10mm),PB0329,,,,
Nandan Steels,PRT0105,MS Sheet (1250X6000X5mm),PB0330,,,,
Nandan Steels,PRT0105,MS Sheet (1500X6300X10mm),PB0712,,,,
Nandan Steels,PRT0105,MS Sheet (1500X6300X6mm),PB0710,,,,
Nandan Steels,PRT0105,MS Sheet (1500X6300X8mm),PB0711,,,,
Nandan Steels,PRT0105,MS Sheet (3X1250X2500mm),PB1151,,,,
Nandan Steels,PRT0105,MS Sheet (4X1250X2500mm),PB1152,,,,
Nandan Steels,PRT0105,MS Sheet (5X1250X6300mm),PB1153,,,,
Nandan Steels,PRT0105,MS Sheet (6X1250X2500mm),PB1154,,,,
Bharat Hardware And Electricals,PRT0112,"MS Short Bend 10""",PB1024,,,,
Garud Overseas Distribution,PRT0142,MS Sleev H313,PB1095,,,,
Garud Overseas Distribution,PRT0142,MS Sleev H315,PB0377,,,,
Garud Overseas Distribution,PRT0142,MS Sleev H317,PB0376,,,,
Garud Overseas Distribution,PRT0142,MS Sleev H318,PB0375,,,,
Nandan Steels,PRT0105,MS Square Pipe 60X60X2 Mm,PB0484,,,,
Nandan Steels,PRT0105,MS Square Pipe 65X65X3 Mm,PB0600,,,,
Nandan Steels,PRT0105,MS Square Pipe 75X75X3 Mm,PB0348,,,,
Nandan Steels,PRT0105,MS T (75X5mm),PB0332,,,,
Bharat Hardware And Electricals,PRT0112,MS Washer 14mm,PB1135,,,,
Dev Wires,PRT0166,MS Wiremesh 1250X15000mm Size 1X1,PB0511,,,,
Nandan Steels,PRT0105,MS Wiremesh 25X25X3 Mm,PB0485,,,,
JOSHI WELDING COMPONENTS & HARDWARE,PRT0102,"MTA 1"" SCH-40 THREADED",PB0236,,,,
M.G Marketing Services (U.K 2018-2019),PRT0103,"MTA 1"" SCH-40 THREADED",PB0236,,,,
Bharat Hardware And Electricals,PRT0112,"MTA 1"" SCH-40 THREADED",PB0236,,,,
Bharat Hardware And Electricals,PRT0112,MTA 50mm SCH-40 THREADED,PB0619,,,,
Liberty Agencies,PRT0188,MTA 50mm SCH-40 THREADED,PB0619,,,,
Chandwani Furnitures,PRT0284,Multipurpose Rack,PB1320,,,,
S. KUMAR & COMPANY,PRT0292,Mustard Seeds,PB0747,,,,
Bharat Hardware And Electricals,PRT0112,NC Thinner,PB0254,,,,
SJS BIOTECH INTERNATIONAL,PRT0113,Neem Oil,PB0167,,,,
SJS BIOTECH INTERNATIONAL,PRT0113,Neem Technical Liquid 1500 PPM,PB0099,,,,
Titan Biotech Limited,PRT0003,Nessler Reagant,PB0651,,,,
M H Enterprises,PRT0068,Nessler Reagant,PB0651,,,,
Wadhwa Hardware,PRT0258,Niagra Urinal Ultra White,PB1007,,,,
Ambica Scientific Industries,PRT0087,NIST Standerd PH Buffer Capsule (4.01),PB1321,,,,
Ambica Scientific Industries,PRT0087,NIST Standerd PH Buffer Capsule (9.18),PB1322,,,,
Ambica Scientific Industries,PRT0087,Nitric Acid (69-72%) LR,PB0159,,,,
Rishi Offset Printers,PRT0099,Non Returnable / Returnable Gate Pass Bo,PB1127,,,,
Bharat Hardware And Electricals,PRT0112,Nozzle L 1/16,PB0974,,,,
Royal Trading Co.,PRT0250,Numex Fast Drying Ink 100ml Black,PB1323,,,,
Ambica Scientific Industries,PRT0087,"Nutrient Agar Media, M001",PB0311,,,,
Ritik Communication,PRT0155,NVR 32 Channel,PB0502,,,,
M H Enterprises,PRT0068,Nycrome Inoculation Loop,PB1324,,,,
Bharat Hardware And Electricals,PRT0112,"Nylon Breeded Hose Pipe 1""",PB1325,,,,
Bhargava Brothers,PRT0009,Oddy RS 2X3 Selfstick Removeable Lable,PB1190,,,,
Royal Trading Co.,PRT0250,Odonil Dabur,PB1326,,,,
Padmaja Enterprises,PRT0225,Office Chair,PB0780,,,,
R. S. Steel Furniture,PRT0264,Office Chair,PB0780,,,,
H. B. Khanduja,PRT0150,Office Table,PB1069,,,,
R. S. Steel Furniture,PRT0264,Office Table,PB1069,,,,
Khanduja Furniture,PRT0150,Office Table ( 4' X 2.5'),PB0436,,,,
Bharat Hardware And Electricals,PRT0112,One Way Lab Water Tap,PB1247,,,,
Bhagwati Hardware & Electricals,PRT0193,"Open  EndedSpanner 14""(From 6-7 to 36-41",PB1206,,,,
Bhagwati Hardware & Electricals,PRT0193,Oxigen Regulator,PB1086,,,,
LAXMI GASES,PRT0108,OXYGEN Cylinder,PB0248,,,,
Royal Trading Co.,PRT0250,Packing Niddle (Sua),PB1165,,,,
Garud Overseas Distribution,PRT0142,Padestel Bracket SN 513,PB1096,,,,
Garud Overseas Distribution,PRT0142,Padestel Bracket SN 515,PB0374,,,,
Garud Overseas Distribution,PRT0142,Padestel Bracket SN 517,PB0373,,,,
Shiva Tools & Mill Store,PRT0238,Padestel Bracket SN 517,PB0373,,,,
Garud Overseas Distribution,PRT0142,Padestel Bracket SN 518,PB0372,,,,
Bharat Hardware And Electricals,PRT0112,"Paint Brush 3""",PB1041,,,,
Bharat Hardware And Electricals,PRT0112,"Paint Brush 4""",PB0433,,,,
Bharat Hardware And Electricals,PRT0112,"Paint Brush 5""",PB0434,,,,
Rishi Offset Printers,PRT0099,Pamphlate Printing,PB1123,,,,
Ritik Communication,PRT0155,Panasonic Telephone Model : KX60,PB0506,,,,
Shilpam Power Controls,PRT0147,Panel Board Electrical (MCCB Panel),PB0418,,,,
Bhargava Brothers,PRT0009,Paper A4 Size 75 GSM,PB1238,,,,
Royal Trading Co.,PRT0250,Paper Cutter Premier,PB1004,,,,
Bhargava Brothers,PRT0009,Paper Envelops 9x4 TAJ OFF,PB1183,,,,
Bhargava Brothers,PRT0009,Paper Envelops A4 Size,PB1184,,,,
Sharma Brothers,PRT0022,Partition for Magnum Urinal Parryware Wh,PB1020,,,,
M P Printers ( D B Corp Ltd. ),PRT0240,Patanjali Bio Brochure,PB0862,,,,
M P Printers ( D B Corp Ltd. ),PRT0240,Patanjali Folder English 4P,PB0861,,,,
M P Printers ( D B Corp Ltd. ),PRT0240,Patanjali Folder Hindi 4P,PB0864,,,,
M P Printers ( D B Corp Ltd. ),PRT0240,Patanjali Folder Hindi 8P,PB0863,,,,
Organic Crop Care,PRT0247,Patanjali Jaivik PROM 40 Kg,PB0914,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK KHAD 10KG (67X95),PB0869,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK KHAD 40KG (BACK) (89X73),PB0866,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK KHAD 40KG (BACK) (90X69),PB0876,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK KHAD 40KG (FRONT) (89X73,PB0865,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK KHAD 40KG (FRONT) (90X69,PB0874,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK POSHAK 1KG (56X93),PB0873,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK POSHAK 5KG (46X79),PB0872,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK PROM 10KG (56X95),PB0868,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK PROM 40KG (84X128.5),PB0867,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK PROM 40KG (Back) (85X69),PB0878,,,,
UFLEX LIMITED,PRT0224,PATANJALI JAVIK PROM 40KG (FRONT)(85X69),PB0877,,,,
Shree Vinayak Fertilizers Pvt. Ltd.,PRT0001,Patanjali PROM 50 Kg,PB0003,,,,
Natraj Organics Limited,PRT0013,Patanjali PROM 50 Kg,PB0003,,,,
Organic Crop Care,PRT0247,Patanjali PROM 50 Kg,PB0003,,,,
UFLEX LIMITED,PRT0224,PATANJALI SHUBHOOMI 1KG (56X93),PB0871,,,,
UFLEX LIMITED,PRT0224,PATANJALI SHUBHOOMI 5KG (46X79),PB0870,,,,
S. KUMAR & COMPANY,PRT0292,Peas Seeds,PB0750,,,,
Bhargava Brothers,PRT0009,Pen Blue Use & Throw,PB0997,,,,
Infotrend Technologies,PRT0158,Pen Drive 32 GB,PB0475,,,,
Avahi Technologies,PRT0251,Pen Drive 32 GB,PB0475,,,,
Bhargava Brothers,PRT0009,Pencil,PB1185,,,,
Bharat Hardware And Electricals,PRT0112,Penta Modular Board ( 12 Module),PB1250,,,,
Bharat Hardware And Electricals,PRT0112,Penta Modular Board 4X6,PB1249,,,,
Central Drug House (P) Ltd,PRT0276,Pepton R,PB0139,,,,
Titan Biotech Limited,PRT0003,Pepton R,PB0139,,,,
Ambica Scientific Industries,PRT0087,Peptone Water (m028),PB0316,,,,
R.K. Dispo Packs,PRT0012,Pet Balm Jar 10gm With Cap,PB0683,,,,
Durga Polyplast Pvt. Ltd.,PRT0203,Pet Bottle 10 gm,PB1270,,,,
R.K. Dispo Packs,PRT0012,Pet Bottle 25ml With Cap,PB0682,,,,
A. R. Enterprises,PRT0283,PG-19mm PVC Gland,PB0953,,,,
Durga Polyplast Pvt. Ltd.,PRT0203,pH Bottle 30ml,PB1269,,,,
Ambica Scientific Industries,PRT0087,PH Probe for General Purpose,PB1327,,,,
M H Enterprises,PRT0068,Phenolpthalin Ind.,PB0647,,,,
M H Enterprises,PRT0068,Phenolpthalin Ind. (Powder),PB1141,,,,
Ambica Scientific Industries,PRT0087,Phenolpthalin Ind. (Powder),PB1141,,,,
Ambica Scientific Industries,PRT0087,Pikovaskya's Agar MediaM520,PB0314,,,,
Bharat Hardware And Electricals,PRT0112,"Pipe Wrench 14""",PB0892,,,,
Bhagwati Hardware & Electricals,PRT0193,Pipe Wrench 300 Mm,PB1211,,,,
Bhagwati Hardware & Electricals,PRT0193,Pipe Wrench 450 Mm,PB1210,,,,
KMC PROJECT,PRT0226,"Piping of Water Treat, Chilled & Cooling",PB0782,,,,
Phox India Industrial Services,PRT0185,Piston Ring Set,PB0587,,,,
New Kanha Medical Store,PRT0255,Plastic Box,PB1063,,,,
R.K. Dispo Packs,PRT0012,Plastic Cap for Hdpe Bottle 1 Ltr.,PB0344,,,,
K. B. Sales & Packaging Solutions,PRT0229,Plastic Chair,PB0803,,,,
Royal Trading Co.,PRT0250,Plastic Drum 100 Ltr (BIG Dustbin),PB1179,,,,
Royal Trading Co.,PRT0250,Plastic L Folder,PB1180,,,,
Royal Trading Co.,PRT0250,Plastic Oil Can 500ml,PB1067,,,,
Satyam Stationery Mart,PRT0015,Plastic Shoe Cover Blue,PB0257,,,,
Garud Overseas Distribution,PRT0142,Plumber Block UCP 208,PB0383,,,,
Garud Overseas Distribution,PRT0142,Plumber Block UCP 210,PB0382,,,,
Garud Overseas Distribution,PRT0142,Plumber Block UCP 212,PB0381,,,,
Garud Overseas Distribution,PRT0142,Plumber Block UCP 216,PB0451,,,,
Sharda Packaging,PRT0119,Poly bag for bio Pesticide 1 kg,PB0083,,,,
UTTARAKHAND PACKAGING,PRT0249,Poly bag for bio Pesticide 1 kg,PB0083,,,,
Titan Biotech Limited,PRT0003,Poly Vinyl Pyrrolidone (PVP),PB0126,,,,
Sharda Packaging,PRT0119,"Polybag Size 12X12"" HM Plain",PB0801,,,,
M H Enterprises,PRT0068,Potassium An Mony Tartarate,PB0641,,,,
Ambica Scientific Industries,PRT0087,Potassium An Mony Tartarate,PB0641,,,,
Titan Biotech Limited,PRT0003,Potassium Chloride (KCL),PB0525,,,,
M H Enterprises,PRT0068,Potassium Chloride (KCL),PB0525,,,,
Ambica Scientific Industries,PRT0087,Potassium Permanganate,PB0304,,,,
Ambica Scientific Industries,PRT0087,Potassium Sulphate LR,PB0162,,,,
Central Drug House (P) Ltd,PRT0276,"Potato Dextrose Agar Media, MH096",PB0305,,,,
Ambica Scientific Industries,PRT0087,"Potato Dextrose Agar Media, MH096",PB0305,,,,
Natraj Organics Limited,PRT0013,Poultry Manure,PB0023,,,,
Agarwal Digital Printers,PRT0274,Premium Quality Flex 20X20 Feet,PB1173,,,,
Natraj Organics Limited,PRT0013,Press Mud,PB0024,,,,
Rai Bahadur Narain Singh Sugar Mills Ltd,PRT0083,Press Mud,PB0024,,,,
Imran,PRT0176,Press Mud,PB0024,,,,
Rohit Kumar,PRT0177,Press Mud,PB0024,,,,
Bharat Hardware And Electricals,PRT0112,"Pressure Gauge 4"" Socket (0-7Barg) 15 NB",PB0828,,,,
Gainwell Commonsales Private Limited,PRT0194,PRI FUEL FILTER 81551064,PB0674,,,,
Rishi Offset Printers,PRT0099,Principal Certificate Book,PB1128,,,,
Raj Advertising & Co.,PRT0093,Printed Keyring,PB1234,,,,
Raj Advertising & Co.,PRT0093,Printed Pen,PB1233,,,,
Rashi Images & Technology Zone,PRT0291,Printer Cartridge 12A Leser Printer,PB1328,,,,
