Particulars,OfbizPartyCode,Item Details,OfbizProductCode,supplierProductId,minimumOrderQuantity,unitPrice,FromDate
S. KUMAR & COMPANY,PRT0292,Coriander Seeds,PB0740,,,,
Rostfrei Steels Pvt Ltd,PRT0116,Cost of Erection & Commi. Includ Labour,PB0263,,,,
Rostfrei Steels Pvt Ltd,PRT0116,Cost of MS Support Structure ForAgitator,PB0264,,,,
Royal Trading Co.,PRT0250,Cotton Appron Blue,PB0919,,,,
New Kanha Medical Store,PRT0255,Cotton Roll,PB1059,,,,
Mittal Machinery Store,PRT0035,Coupling of Above Pump,PB0756,,,,
Imran,PRT0176,Cow Dung,PB0533,,,,
Rohit Kumar,PRT0177,Cow Dung,PB0533,,,,
Bal Krishan Sharma,PRT0178,Cow Dung,PB0533,,,,
Rohitash,PRT0197,Cow Dung,PB0533,,,,
Mohd. Murasaleen,PRT0198,Cow Dung,PB0533,,,,
MD Meharban,PRT0207,Cow Dung,PB0533,,,,
Intjar,PRT0212,Cow Dung,PB0533,,,,
Mukesh Giri,PRT0219,Cow Dung,PB0533,,,,
New Kanha Medical Store,PRT0255,Crape Bandage,PB1058,,,,
Bharat Hardware And Electricals,PRT0112,Cutter,PB1202,,,,
Royal Trading Co.,PRT0250,Cutter Big,PB1202,,,,
Royal Trading Co.,PRT0250,Cutter Small,PB1202,,,,
Bhagwati Hardware & Electricals,PRT0193,Cutting Nozzle Size 1/32,PB1083,,,,
Bhagwati Hardware & Electricals,PRT0193,"Cutting Wheel  4""",PB0542,,,,
UFLEX LIMITED,PRT0224,Cylinder Base Shell Cir(400-650 mm),PB0778,,,,
UFLEX LIMITED,PRT0224,Cylinder Base Shell Cir(650-900 mm),PB0779,,,,
Bhagwati Hardware & Electricals,PRT0193,D-Shackle 17 Ton,PB1168,,,,
VASU AUTOMATION & CONTROLS,PRT0130,"DANFOSS AC DRIVE FOR 15KW /20HP ,I/P 440",PB0347,,,,
A. R. Enterprises,PRT0283,DB SPN 4WAY DOUBLE DOOR,PB0444,,,,
H.V.Technologies,PRT0286,DE002-1PK Dodeca G-I-Plus - Hi Media (C),PB0486,,,,
H.V.Technologies,PRT0286,DE003-1PK Dodeca G-I-Minus - Hi Media ©,PB0489,,,,
H.V.Technologies,PRT0286,DE009-1PK Dodeca G-II-Plus -Hi Media (C),PB0487,,,,
H.V.Technologies,PRT0286,DE010-1PK Dodeca G-II-Minus - Hi Media ©,PB0490,,,,
H.V.Technologies,PRT0286,DE023-1PK Dodeca G-IV-Plus -Hi Media (C),PB0488,,,,
H.V.Technologies,PRT0286,DE031-1PK Dodeca G-VI-Minus - Hi Media ©,PB0491,,,,
Transtek Infoways Private Ltd,PRT0131,Dell Latitude 3480 Laptop / Intel Core,PB0356,,,,
Transtek Infoways Private Ltd,PRT0131,Dell Latitude 3490 Laptop / Intel Core,PB0607,,,,
Transtek Infoways Private Ltd,PRT0131,Dell Optiplex 3050 Desktop / Intel Core,PB0608,,,,
Dell International Services India Pvt Lt,PRT0173,Desktop I3,PB0528,,,,
DEV IT Serv Private Limited,PRT0216,Desktop I3 M710 SFF 7th Gen,PB0708,,,,
Central Drug House (P) Ltd,PRT0276,Dextrose (Mono),PB0135,,,,
Titan Biotech Limited,PRT0003,Dextrose (Mono),PB0135,,,,
Ambica Scientific Industries,PRT0087,Dextrose Anh.,PB0303,,,,
Titan Biotech Limited,PRT0003,Di-Potassium Hydrogen Ortho-Phosphate,PB0133,,,,
Shiva Tools & Mill Store,PRT0238,"Digital Vernier - 12""",PB0846,,,,
Bharat Hardware And Electricals,PRT0112,Digital Volt Meter DM2310,PB0992,,,,
Remi Sales & Engineering Ltd.,PRT0186,Display PCB (LCD Version) (L10000725),PB0722,,,,
Royal Trading Co.,PRT0250,Disposable Cap Blue,PB0932,,,,
Shree Ramdev Trading Co.,PRT0257,Disposable Cap Blue,PB0932,,,,
Royal Trading Co.,PRT0250,Disposable Nose Mask Green,PB0933,,,,
Ambica Scientific Industries,PRT0087,Distillation Cooling Pipe,PB0326,,,,
Ambica Scientific Industries,PRT0087,Distillation Funnel,PB0325,,,,
New Kanha Medical Store,PRT0255,Doctor Tape,PB1060,,,,
Bhargava Brothers,PRT0009,Doms DF Pen Blue Use & Through - 3.00,PB0942,,,,
Wadhwa Hardware,PRT0258,Doomed Waste Coupling (T9954A1),PB1011,,,,
Bharat Hardware And Electricals,PRT0112,Door Closer,PB0809,,,,
Bhagwati Hardware & Electricals,PRT0193,Door Closer,PB0809,,,,
Royal Trading Co.,PRT0250,Door Mat Green,PB1275,,,,
R.K. Dispo Packs,PRT0012,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",PB0100,,,,
Chandwani Furnitures,PRT0284,"Drawer Channel Heavy 14""",PB1301,,,,
Sri Sai Plastics Enterprises,PRT0199,Dropper 3 Ml,PB0686,,,,
M Y Engineering Works,PRT0144,Drum Spoter Roll 150X200X90X275 Bearing,PB0387,,,,
M Y Engineering Works,PRT0144,Drum Spoter Roll 350X250X190X58 Bearing,PB0388,,,,
M Y Engineering Works,PRT0144,Drum Tayar Ring 1350X100X40X14,PB0391,,,,
M Y Engineering Works,PRT0144,Drum Tayar ring 1980X150X2130,PB0390,,,,
Ritik Communication,PRT0155,DSP Card for Panasonic System,PB0453,,,,
Satyam Stationery Mart,PRT0015,"Dust Control Moup 24""",PB0258,,,,
Royal Trading Co.,PRT0250,Dustbine,PB1055,,,,
Ritik Communication,PRT0155,DVR 4 Channel,PB1031,,,,
Bharat Hardware And Electricals,PRT0112,Ear Plug,PB0819,,,,
Namdev & Sons,PRT0163,Earthing Strip GI 25 X 06 Mm,PB0597,,,,
Ambica Scientific Industries,PRT0087,EC Probe for General Purpose,PB1302,,,,
JOSHI WELDING COMPONENTS & HARDWARE,PRT0102,"Elbow 1""  SCH-40",PB0232,,,,
M.G Marketing Services (U.K 2018-2019),PRT0103,"Elbow 1""  SCH-40",PB0232,,,,
Bharat Hardware And Electricals,PRT0112,"Elbow 1""  SCH-40",PB0232,,,,
Bhagwati Hardware & Electricals,PRT0193,"Elbow 1/2""",PB1242,,,,
Bharat Hardware And Electricals,PRT0112,Elbow 50mm  SCH-40,PB0616,,,,
Liberty Agencies,PRT0188,Elbow 50mm  SCH-40,PB0616,,,,
Namdev & Sons,PRT0163,"Electrode GI Dia 50, Length 3000 Mm With",PB0594,,,,
Yokogawa India Limited,PRT0162,Electromagnetic Flowmeter,PB0479,,,,
Gainwell Commonsales Private Limited,PRT0194,ELEMENT PANEL 81536080,PB0675,,,,
Marudhara Polypack Industries,PRT0281,Empty Bag for Patanjali Jaivik Khad 10Kg,PB0986,,,,
Kotak Polypack Industries,PRT0004,Empty Bag for Patanjali Jaivik Khad 40Kg,PB0047,,,,
