BOM Name,OfbizCode,Item To Produce,Qty,UOM,Type,Raw Mat./By Product,itemQty,Unit,Ofbiz Unit,FromDate
 ,,,,,PB0879,Jaivik Premix Powder F2,30,Kgs.,UQC_kgs,2019-04-29 17:34:53
PROM 13.7.17 Indore,PB0003,Patanjali PROM 50 Kg,1000,Pcs.,PB0085,Premix Nutrient Powder,30,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0090,PROM Granule,1000,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0091,BOPP Bag 50kg,20,Pcs.,UQC_pcs,2019-04-29 17:34:53
PROM 13.7.17 Maharashtra,PB0003,Patanjali PROM 50 Kg,1000,Kgs.,PB0085,Premix Nutrient Powder,30,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0090,PROM Granule,1000,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0091,BOPP Bag 50kg,20,Pcs.,UQC_pcs,2019-04-29 17:34:53
PROM Akola,PB0003,Patanjali PROM 50 Kg,21000,Kgs.,PB0090,PROM Granule,21000,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0091,BOPP Bag 50kg,420,Pcs.,UQC_pcs,2019-04-29 17:34:53
PROM B.No. 01-07-17,PB0003,Patanjali PROM 50 Kg,500,Pcs.,PB0025,Rock Phosphate 30%,9000,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0026,Bentonite Clay Powder,3750,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0027,Gypsum Powder,1250,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0085,Premix Nutrient Powder,750,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0086,Food Park Compost,8750,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0087,Cow Urine Ark Distillate,250,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0088,Premix Nutrient Liquid,125,Ltr.,UQC_klr,2019-04-29 17:34:53
